t,v,w,x,y,theta
464,0.142,0,1.28346876501855,-0.859306280868524,-0.702431224828985
464.5,0.142,0,1.34162935883072,-0.907991766922117,-0.717278634188777
465,0.142,0,1.39947480318143,-0.957744422796803,-0.70888303439814
465.5,0.142,0,1.45698051665113,-1.00704043113919,-0.712811112542654
466,0.142,0,1.51274323422874,-1.05644819298385,-0.709473916709651
466.5,0.142,0,1.5694089656266,-1.1061279775939,-0.706278164094354
467,0.142,0,1.62719427248463,-1.1558564024182,-0.704572758882331
467.5,0.142,0,1.68500077503426,-1.2060600163706,-0.703527677930277
468,0.142,0,1.74195356506678,-1.25566217260829,-0.70310534399016
468.5,0.142,0,1.79906739999865,-1.30510725663443,-0.707596021579653
469,0.142,0,1.85661573169018,-1.35461203594544,-0.707275949147867
469.5,0.142,0,1.91379177308776,-1.40406560518166,-0.707924875027331
470,0.142,0,1.97063067542021,-1.45391702369435,-0.709172970463132
470.5,0.142,0,2.02819461892593,-1.50354160169152,-0.706954918468645
471,0.142,0,2.08459197312433,-1.5533002101871,-0.707166910184202
471.5,0.142,0,2.14191192539518,-1.60315261069368,-0.70701609875901
472,0.142,0,2.19938059025798,-1.65233428293094,-0.71557753498733
472.5,0.142,0,2.25706528196812,-1.7024805675093,-0.709028059667899
473,0.142,0,2.31436892168514,-1.7513947655713,-0.722582254842729
473.5,0.142,0,2.37107167234201,-1.80184748805596,-0.704129063300361
474,0.165,-1.003,2.42625045172449,-1.85036076478465,-0.797152292899483
474.5,0.165,-1.003,2.46655510766729,-1.90190666503037,-1.09235813240264
475,0.165,-1.003,2.49041985227548,-1.96471205932888,-1.39594469185377
475.5,0.142,0,2.49854413735591,-2.03712426896794,-1.51472842059122
476,0.142,0,2.50297090312587,-2.11346659932538,-1.49463879653875
476.5,0.142,0,2.50870183385839,-2.18865078533313,-1.5029067504723
477,0.142,0,2.51432025165488,-2.26386778287587,-1.50344107155413
477.5,0.142,0,2.51870385992503,-2.33946642329792,-1.50782730760484
478,0.142,0,2.52313279250305,-2.41460382778141,-1.5038387197693
