t,v,w,x,y,theta
5,0,0,0.980352724212024,-4.99240668798403,1.44894270118274
5.5,0,0,0.98036129604702,-4.9924259854396,1.44886608567113
6,0,0,0.98039034766381,-4.99241717749312,1.44863349454656
6.5,0,0,0.980380340794846,-4.99241978312593,1.44871145456656
7,0,0,0.980373607785348,-4.99241723157893,1.44871663549832
7.5,0,0,0.980375099212228,-4.9924427842119,1.44874580188976
8,0,0,0.980395491937839,-4.99245421719497,1.44876195930124
8.5,0,0,0.980385244615889,-4.99246333644291,1.44880341322366
9,0,0,0.980394844762133,-4.9924759989066,1.44881343740312
9.5,0,0,0.980391634089489,-4.99246315535709,1.44878319969211
10,0,0,0.980398487958164,-4.99252669450827,1.44875560413218
10.5,0,0,0.9804035571631,-4.99250277574075,1.44880466094655
11,0,0,0.980419909420228,-4.99249931773554,1.44883943487141
11.5,0,0,0.980409943809872,-4.99247635551444,1.44882757134942
12,0,0,0.980416184895553,-4.99249806751418,1.44881624913994
12.5,0,0,0.98041672388371,-4.99250649920627,1.44883183076287
13,0,0,0.9804297025118,-4.99253702667662,1.44882505984153
13.5,0,0,0.980438320280879,-4.99256494443071,1.44891563829537
14,0,0,0.980444797294312,-4.99253362248337,1.44890281989303
14.5,0,0,0.980431001022885,-4.9925270893942,1.44890485288145
15,0,0,0.980440374963978,-4.99250791308069,1.44881647534923
15.5,0,0,0.980418062147831,-4.99250589242661,1.44884993453681
16,0,0,0.980404124977858,-4.99250084698819,1.4488011779571
16.5,0,0,0.980404769785692,-4.99249007535269,1.4487403249123
17,0,0,0.980397248969455,-4.99250175180074,1.44875175241577
17.5,0,0,0.980403820663651,-4.99248656651089,1.44873749096597
18,0,0,0.980395274523534,-4.99248197349874,1.44878087575237
18.5,0,0,0.980403160631015,-4.99246654827875,1.44875454599787
19,0,0,0.980395432510551,-4.99245258640798,1.44880959477976
19.5,0,0,0.980386182812333,-4.99244291456751,1.44880593772186
20,0,0,0.98041130881969,-4.99248099442871,1.44874322757017
20.5,0,0,0.980409963160044,-4.99248479144472,1.4487085970531
21,0,0,0.980399659361354,-4.99245124458772,1.44870882278461
21.5,0,0,0.980394550454209,-4.99240994982057,1.448587615296
22,0,0,0.980370174523536,-4.99238714016427,1.4484944786893
22.5,0,0,0.980355459669179,-4.99236335579416,1.4485441755934
23,0,0,0.980366897966463,-4.99236653278434,1.44865697915156
23.5,0,0,0.980386812610945,-4.99240404029325,1.44860520407621
24,0,0,0.980385359088439,-4.992425385007,1.44856438343656
24.5,0,0,0.98038611794139,-4.99240485929552,1.44855942391593
25,0,0,0.980377241282546,-4.99239044396714,1.44854519742519
25.5,0,0,0.980380625031649,-4.99241063059304,1.44859213484966
